order,bill_to_name,customer_class,ship_date,part_number,description,license,ordered,shipped,price,extension,standard_cost,category,sub_category,city,state
2024-41544-00,KING KULLEN,GROCERY,8/5/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,139.02,-139.02,0.00,Branded,All Branded,HAMPTON BAYS,NY
2024-41543-00,KING KULLEN,GROCERY,8/5/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,149.87,-149.87,0.00,Branded,All Branded,BRIDGEHAMPTON,NY
2024-41542-00,KING KULLEN,GROCERY,8/14/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,13.27,-13.27,0.00,Branded,All Branded,ST. JAMES,NY
2024-41541-00,KING KULLEN,GROCERY,8/14/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,11.77,-11.77,0.00,Branded,All Branded,HUNTINGTON,NY
2024-41540-00,KING KULLEN,GROCERY,8/14/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,68.38,-68.38,0.00,Branded,All Branded,MANHASSET,NY
2024-41529-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/31/2024,Deals Branded,Deals Branded,N/A,-1.00,-1.00,153.12,-153.12,0.00,Branded,All Branded,HOWELL,NJ
2024-41528-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/31/2024,Promotions Branded,Promotions Branded,N/A,-1.00,-1.00,25.84,-25.84,0.00,Branded,All Branded,HOWELL,NJ
2024-41510-00,"PER MARKETS, INC.",GROCERY,8/31/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,"2,313.39","-2,313.39",0.00,Branded,All Branded,DEERFIELD BEACH,FL
2024-41473-00,BAKERY OUTLET,OTHER,8/29/2024,Outlet Store Sales,Outlet Store Sales,N/A,1.00,1.00,280.00,280.00,0.00,Other,Other Products,ISLIP,NY
2024-41471-00,"DOT FOODS, INC.",DISTRIBUTOR,8/24/2024,Deals Bulk,Deals Bulk,N/A,-1.00,-1.00,584.53,-584.53,0.00,Bulk,All Bulk,MT. STERLING,IL
2024-41423-00,TARGET DC 0551,GROCERY,8/17/2024,Promotions Branded,Promotions Branded,N/A,-1.00,-1.00,60.25,-60.25,0.00,Branded,All Branded,FRIDLEY,MN
2024-41422-00,TARGET DC 0551,GROCERY,8/3/2024,Promotions Branded,Promotions Branded,N/A,-1.00,-1.00,51.42,-51.42,0.00,Branded,All Branded,FRIDLEY,MN
2024-41255-00,WAKEFERN FOOD CORP.PLAZA 7,GROCERY,8/22/2024,Deals Branded,Deals Branded,N/A,-1.00,-1.00,"1,595.84","-1,595.84",0.00,Branded,All Branded,KEASBEY,NJ
2024-41254-00,WAKEFERN FOOD CORP.PLAZA 7,GROCERY,8/22/2024,Deals Branded,Deals Branded,N/A,-1.00,-1.00,"1,574.28","-1,574.28",0.00,Branded,All Branded,KEASBEY,NJ
2024-41253-00,WAKEFERN FOOD CORP.PLAZA 7,GROCERY,8/19/2024,Deals Branded,Deals Branded,N/A,-1.00,-1.00,43.12,-43.12,0.00,Branded,All Branded,KEASBEY,NJ
2024-41251-00,AMAZON,INTERNET,8/22/2024,Advertising - Amazon / Web,Advertising - Amazon / Web,N/A,-1.00,-1.00,"1,010.05","-1,010.05",0.00,Selling Expense,Advertising,ISLIP,NY
2024-41228-00,International Bakery,INTERNET,8/28/2024,80095,Angel Spritz - 6lb Bulk,N/A,8.00,8.00,10.14,81.12,6.17,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,80041,Cherry Jelly Top - 6lb Bulk,N/A,16.00,16.00,10.14,162.24,5.92,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,00006,Almond Tartlette - 5lb Bulk,N/A,10.00,10.00,9.83,98.28,5.20,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,80010,Lemon Fan - 6lb Bulk,N/A,10.00,10.00,12.24,122.36,7.79,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,00182,Honey Dutch Boy - 5lb Bulk,N/A,4.00,4.00,10.07,40.27,5.70,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,00048,Linzer Tart - 5lb Bulk,N/A,8.00,8.00,9.78,78.21,6.41,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,00038,Apricot Pocket - 5lb Bulk,N/A,8.00,8.00,9.78,78.21,5.20,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,00032,Raspberry Pocket,N/A,10.00,10.00,9.78,97.76,5.20,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,00024,Strawberry Leaf - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,5.27,Bulk,Bulk Everyday,Atlanta,GA
2024-41228-00,International Bakery,INTERNET,8/28/2024,00026,Pistachio Leaf - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,5.37,Bulk,Bulk Everyday,Atlanta,GA
2024-41222-00,AMAZON,INTERNET,8/23/2024,16595A,Strawberry Shortcake CAKEBITES 12 CT DISPLAY - Amazon,N/A,3.00,3.00,6.80,20.39,3.04,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,18525A,LEMON LAYERS CAKEBITES 12 CT DISPLAY Amazon,N/A,84.00,84.00,6.80,570.86,3.46,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,19728A,Girl Scouts Thin Mint CAKEBITES Family 4 Pack - Amazon,Girl Scouts,124.00,124.00,3.20,396.30,1.33,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,16037A,12 CT PARTY CAKE CAKEBITES AMAZON,N/A,60.00,60.00,6.80,407.76,3.01,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,16734A,12 CT RAINBOW CAKEBITES AMAZON,N/A,570.00,570.00,6.80,"3,873.72",1.61,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,50228A,CRUMBLES - Blueberry - Family Pack - AMAZON,N/A,110.00,110.00,3.20,351.56,1.94,Branded,Filled Cookies & Crumbles,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,50228A,CRUMBLES - Blueberry - Family Pack - AMAZON,N/A,11.00,11.00,2.80,30.76,1.94,Branded,Filled Cookies & Crumbles,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,12529A,Trolls Party Pop Cookie House Kit - Amazon,Universal,1.00,1.00,0.62,0.62,2.24,Structure Kits,Structure Kits Licensed,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,16812A,Cakebites - SNICKERS - Family Pack Amazon,MARS,36.00,36.00,3.20,115.06,0.99,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,17695A,12 CT Chocolate Tuxedo Cakebites Amazon,N/A,42.00,42.00,6.80,285.43,3.08,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,17655A,Chocolate Tuxedo CAKEBITES Family 4 Pack - Amazon,N/A,15.00,15.00,3.20,47.94,1.08,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,13128A,Pistachio CAKEBITES Family Pack,N/A,149.00,149.00,3.20,476.20,1.57,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,16882A,Cakebites - Trolls Party Pop - Amazon,Universal,34.00,34.00,3.20,108.66,1.08,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,15128A,Cakebites - Frosted Choc Chip Cookie Dough - 12ct Display Amazon,N/A,17.00,17.00,6.80,115.53,3.84,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,18334A,Cakebites - Classic Italian Rainbow 8ct Club Box - 8ct Amazon,N/A,602.00,602.00,5.20,"3,127.99",1.83,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,19843A,Americakes CAKEBITE FAMILY PACK AMAZON,N/A,29.00,29.00,3.20,92.68,1.05,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,17595A,Iced Blueberry Cobbler CAKEBITES Family 4 Pack - Amazon,N/A,4.00,4.00,3.20,12.78,1.00,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,50128A,CRUMBLES - Apple Cinnamon - Family Pack  - AMAZON,N/A,66.00,66.00,3.20,210.94,1.87,Branded,Filled Cookies & Crumbles,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,50128A,CRUMBLES - Apple Cinnamon - Family Pack  - AMAZON,N/A,3.00,3.00,2.80,8.39,1.87,Branded,Filled Cookies & Crumbles,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,18812A,Cakebites - M&M's - Amazon,MARS,10.00,10.00,6.80,67.96,3.28,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,17682A,Cakebites - STAR WARS - Mandalorian - Family Pack AMAZON,Lucas Films,40.00,40.00,3.20,127.84,1.04,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,18128A,Cakebites - M&Ms - Family Pack Amazon,MARS,12.00,12.00,3.20,38.35,1.04,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,19912A,Cakebites - Girl Scouts Coconut Caramel - Family Pack,Girl Scouts,132.00,132.00,3.20,421.87,1.67,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,50012A,CRUMBLES - Chocolate Chip - 12ct Display  - AMAZON,N/A,8.00,8.00,6.80,54.37,4.30,Branded,Filled Cookies & Crumbles,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,16296A,Cakebites - SNICKERS - 12ct Display - 8/Case Amazon,MARS,47.00,47.00,6.80,319.41,3.42,Branded,Cakebites,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,50122A,CRUMBLES - Apple Cinnamon - 12ct Display - AMAZON,N/A,2.00,2.00,6.80,13.59,3.71,Branded,Filled Cookies & Crumbles,ISLIP,NY
2024-41222-00,AMAZON,INTERNET,8/23/2024,17110A,Peanut Butter Choc Ripple 12 Ct,N/A,26.00,26.00,6.80,176.70,3.64,Branded,Cakebites,ISLIP,NY
2024-41220-00,KROGER NASHVILLE - RASC,GROCERY,8/23/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,47.62,-47.62,0.00,Branded,All Branded,RIVERSIDE,CA
2024-41220-00,KROGER NASHVILLE - RASC,GROCERY,8/23/2024,"Salvage, Stales - Structure Ki","Salvage, Stales - Structure Kits",N/A,-1.00,-1.00,157.81,-157.81,0.00,Structure Kits,All Structure Kits,RIVERSIDE,CA
2024-41218-00,NUTS.COM,INTERNET,8/23/2024,"Damages, Shorts","Damages, Shorts",N/A,-1.00,-1.00,156.00,-156.00,0.00,Selling Expense,"Damages, Shorts",CRANFORD,NJ
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,00034,Rainbow Layer - 5lb Bulk,N/A,1.00,1.00,10.05,10.05,7.14,Bulk,Rainbow Cookies,Bronx,NY
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,80600,Traditionally Italian Assortment - 6lb Bulk,N/A,3.00,3.00,13.72,41.15,11.44,Bulk,Bulk Everyday,Bronx,NY
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,00032,Raspberry Pocket,N/A,1.00,1.00,9.78,9.78,5.20,Bulk,Bulk Everyday,Bronx,NY
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,00024,Strawberry Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.27,Bulk,Bulk Everyday,Bronx,NY
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,00006,Almond Tartlette - 5lb Bulk,N/A,1.00,1.00,9.83,9.83,5.20,Bulk,Bulk Everyday,Bronx,NY
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,00186,Chocolate Dutch Boy - 5lb Bulk,N/A,1.00,1.00,10.07,10.07,5.83,Bulk,Bulk Everyday,Bronx,NY
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,00182,Honey Dutch Boy - 5lb Bulk,N/A,1.00,1.00,10.07,10.07,5.70,Bulk,Bulk Everyday,Bronx,NY
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,00026,Pistachio Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.37,Bulk,Bulk Everyday,Bronx,NY
2024-41217-00,Mamma Rosa's Cucina,INTERNET,8/28/2024,00018,Pretzel - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.17,Bulk,Bulk Everyday,Bronx,NY
2024-41214-00,LIPARI FOODS INC.,DISTRIBUTOR,8/3/2024,Promotions Branded,Promotions Branded,N/A,-1.00,-1.00,86.00,-86.00,0.00,Branded,All Branded,CLINTON TOWNSHIP,MI
2024-41214-00,LIPARI FOODS INC.,DISTRIBUTOR,8/3/2024,Promotions - Other,Promotions Other,N/A,-1.00,-1.00,164.40,-164.40,0.00,Other,Other Products,CLINTON TOWNSHIP,MI
2024-41214-00,LIPARI FOODS INC.,DISTRIBUTOR,8/3/2024,Promotions - Bulk,Promotions Bulk,N/A,-1.00,-1.00,"2,038.00","-2,038.00",0.00,Bulk,All Bulk,CLINTON TOWNSHIP,MI
2024-41214-00,LIPARI FOODS INC.,DISTRIBUTOR,8/3/2024,Promotions - Structure Kits,Promotions Structure Kits,N/A,-1.00,-1.00,78.40,-78.40,0.00,Structure Kits,All Structure Kits,CLINTON TOWNSHIP,MI
2024-41214-00,LIPARI FOODS INC.,DISTRIBUTOR,8/3/2024,"Salvage, Stales - Structure Ki","Salvage, Stales - Structure Kits",N/A,-1.00,-1.00,23.18,-23.18,0.00,Structure Kits,All Structure Kits,CLINTON TOWNSHIP,MI
2024-41213-00,"DOT FOODS, INC.",DISTRIBUTOR,8/23/2024,Deals Branded,Deals Branded,N/A,-1.00,-1.00,800.84,-800.84,0.00,Branded,All Branded,MT. STERLING,IL
2024-41210-00,BAKERY OUTLET,OTHER,8/23/2024,Outlet Store Sales,Outlet Store Sales,N/A,1.00,1.00,576.00,576.00,0.00,Other,Other Products,ISLIP,NY
2024-41208-00,"PER MARKETS, INC.",GROCERY,8/24/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,"2,159.05","-2,159.05",0.00,Branded,All Branded,DEERFIELD BEACH,FL
2024-41174-00,Nassau Candy,INTERNET,8/27/2024,80003,Petite Chocolate Almond Biscotti - 6lb Bulk,N/A,1.00,1.00,22.80,22.80,11.38,Bulk,Bulk Everyday,Hicksville,NY
2024-41174-00,Nassau Candy,INTERNET,8/27/2024,Freight - Webstore,Freight - Webstore,N/A,1.00,1.00,8.74,8.74,0.00,Freight,Other,Hicksville,NY
2024-41174-00,Nassau Candy,INTERNET,8/27/2024,Refund - Webstore,Refund - Webstore,N/A,-1.00,-1.00,8.74,-8.74,0.00,Selling Expense,Other,Hicksville,NY
2024-41168-00,Isabella's,INTERNET,8/28/2024,00712,Apple Pie - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.53,Bulk,Bulk Harvest,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,80075,Rainbow Sprinkle - 6lb Bulk,N/A,1.00,1.00,10.14,10.14,5.92,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00044,Red Velvet - 5lb Bulk,N/A,2.00,2.00,10.11,20.22,6.37,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00747,Chocolate Star - 5lb Bulk,N/A,2.00,2.00,10.32,20.65,5.07,Bulk,Bulk - Patriotic,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00018,Pretzel - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.17,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00950,Fudge Mint Filled Cookie,N/A,1.00,1.00,11.74,11.74,6.77,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00070,Fiesta Ring - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.70,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00008,Raspberry Napoleon - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.80,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00050,Chocolate Drizzled Macaroon - 5lb Bulk,N/A,1.00,1.00,11.74,11.74,6.30,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00048,Linzer Tart - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,6.41,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00024,Strawberry Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.27,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00026,Pistachio Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.37,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00090,Melt-A-Way - 5lb Bulk,N/A,3.00,3.00,9.78,29.33,5.19,Bulk,Bulk Everyday,Baltimore,MD
2024-41168-00,Isabella's,INTERNET,8/28/2024,00038,Apricot Pocket - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.20,Bulk,Bulk Everyday,Baltimore,MD
2024-41164-00,DiFiore Ravioli Shop Ellington CT,INTERNET,8/27/2024,00006,Almond Tartlette - 5lb Bulk,N/A,1.00,1.00,9.83,9.83,5.20,Bulk,Bulk Everyday,Ellington,CT
2024-41164-00,DiFiore Ravioli Shop Ellington CT,INTERNET,8/27/2024,80301,Almond Biscotti - 6lb Bulk,N/A,1.00,1.00,13.10,13.10,10.10,Bulk,Bulk Everyday,Ellington,CT
2024-41164-00,DiFiore Ravioli Shop Ellington CT,INTERNET,8/27/2024,80081,Chocolate Drizzled Biscotto Sorrento 6lb - Bulk,N/A,1.00,1.00,14.74,14.74,8.07,Bulk,Bulk Everyday,Ellington,CT
2024-41164-00,DiFiore Ravioli Shop Ellington CT,INTERNET,8/27/2024,80385,Raspberry Finger - 6lb Bulk,N/A,1.00,1.00,12.24,12.24,9.25,Bulk,Bulk Everyday,Ellington,CT
